english_name,site_name,code
Trinidad and Tobago,TRINIDAD,637
Tunisia,TUNISIA,129
Turkey,TURKEY,475
Turkmenistan,TURKMENISTAN,269
Tuvalu,TUVALU,735
Ukraine,UKRAINE,479
Russia,Union Russia,477
Myanmar,UNIONMYANMAR,213
United States,USA,502
Uzbekistan,UZBAKISTAN,271
Vatican City,VATICAN,441
Venezuela,VENEZUELA,617
Vietnam,VIETNAM,233
Samoa,WSAMOA,729
Yemen,YEMEN,115
Yugoslavia,YUGOSLAVAIA,464
Zambia,ZAMBIYA,359
Zimbabwe,ZEMBABY,331
